	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
ACSS3	-1.66262100935601	8.17464356550069	-12.6520306185669	1.60541876681934e-13	1.54409176992684e-11	20.8493614979252	ILMN_1878007	ACSS3	down
ACTA1	-2.42699361040086	9.0178515521809	-12.6431245968574	1.63426209443356e-13	1.56401321634447e-11	20.8315176310784	ILMN_2387865	ACTA1	down
ACTA2	-1.38818948239119	8.02891129103694	-12.6176111811359	1.71987474588053e-13	1.63779755503752e-11	20.7803489992905	ILMN_1779470	ACTA2	down
ACTB	-3.8235820189509	9.8054596840135	-12.6053677234995	1.76258213803754e-13	1.67019852252661e-11	20.7557673526387	ILMN_2120555	ACTB	down
ACTBL2	1.88988902755862	8.89256724110012	12.5323640390455	2.04087588305912e-13	1.92442590620222e-11	20.6088349762372	ILMN_1685124	ACTBL2	up
ACTG1	1.35912119203154	8.48007854058287	12.5083464590844	2.14199642504504e-13	2.00016714719254e-11	20.5603603018968	ILMN_2390299	ACTG1	up
ACTG2	-1.79018945069651	11.0709445581984	-12.482373305933	2.25715997523809e-13	2.09752315380096e-11	20.5078631490318	ILMN_2181892	ACTG2	down
ACTL10	-1.08978086665229	8.60843489092137	-12.4607104097406	2.35806966197434e-13	2.18076096239127e-11	20.464017783437	ILMN_1738491	ACTL10	down
ACTL6A	-1.36146617598958	7.8894830139121	-12.4250507168442	2.53438804717487e-13	2.33260710408879e-11	20.3917237632795	ILMN_1735584	ACTL6A	down
ACTL7A	-1.49949868021326	8.00038099190441	-12.4067475318546	2.63009275985597e-13	2.3977471245777e-11	20.3545593680984	ILMN_1813796	ACTL7A	down
ACTL7B	-1.73846921333702	8.0416642890309	-12.372049281193	2.82184780265736e-13	2.56042756282628e-11	20.2839972058626	ILMN_1786379	ACTL7B	down
ACTL8	1.75719896823063	9.29756216823757	12.3088727149192	3.20871568795983e-13	2.89778661847865e-11	20.1551583497468	ILMN_1751079	ACTL8	up
ACTN1	-1.36242939803656	10.8640754769823	-12.2562727047993	3.5722110445961e-13	3.19604891413259e-11	20.0475296753035	ILMN_1687375	ACTN1	down
ACTN2	-1.26277619308747	9.23675846325842	-12.2522675367449	3.60156651869203e-13	3.20739507192407e-11	20.0393210086503	ILMN_1720965	ACTN2	down
ACTN3	-1.56377493095037	10.3525870760347	-12.2309319187833	3.76217311050084e-13	3.33498442182461e-11	19.995561241828	ILMN_1712944	ACTN3	down
ACTN4	-2.14370135919917	8.05210491926262	-12.221799729855	3.83314797628368e-13	3.38231350788041e-11	19.9768144541983	ILMN_1725889	ACTN4	down
ACTR1A	3.3058807034202	9.39867678398859	12.1983712981065	4.02159135148135e-13	3.5064179581874e-11	19.9286747121949	ILMN_1803367	ACTR1A	up
ACTR1B	-2.94447944674572	9.54217802888491	-12.1975363915375	4.02847977105123e-13	3.5064179581874e-11	19.9269579788341	ILMN_1760246	ACTR1B	down
ACTR2	-1.40141934993017	8.5835589811157	-12.1887358134632	4.10183059419636e-13	3.55279271255787e-11	19.9088572070409	ILMN_1679092	ACTR2	down
ACTR3	1.41487449846561	9.72276725612608	12.1867349199787	4.11869814358705e-13	3.55279271255787e-11	19.904740543104	ILMN_1776723	ACTR3	up
ACTR3B	-1.03714006744033	11.1761453609825	-12.1748574697038	4.22030247636077e-13	3.62418475157481e-11	19.8802939212109	ILMN_1711516	ACTR3B	down
ACTR3BP2	-2.52051932087965	9.63409205518344	-12.1592249546906	4.35796635866629e-13	3.71374892232884e-11	19.8480928892882	ILMN_1727805	ACTR3BP2	down
ACTR3BP5	3.47672997955706	10.4438227236263	12.1586394760369	4.36321094014514e-13	3.71374892232884e-11	19.8468863108421	ILMN_1803429	ACTR3BP5	up
ACTR3C	1.31401123527314	7.92654897931233	12.1528306758755	4.41559737163739e-13	3.74178110311968e-11	19.8349130841674	ILMN_1755303	ACTR3C	up
ACTR6	-2.11840223034428	8.68323752285075	-12.0976862562812	4.94628348417238e-13	4.1548781267048e-11	19.721047676158	ILMN_1800739	ACTR6	down
ACTR8	-2.71218097017719	8.9926942342563	-12.0650200284288	5.29112975375293e-13	4.42522486709527e-11	19.6534250780239	ILMN_2197946	ACTR8	down
ACTRT1	1.9861818685319	8.3684596996942	12.0111003066532	5.91531643061393e-13	4.90938557381829e-11	19.5415255240965	ILMN_1761425	ACTRT1	up
ACTRT2	2.51343035117636	9.15537085075476	12.0106307597183	5.92107222460929e-13	4.90938557381829e-11	19.5405495395415	ILMN_1667295	ACTRT2	up
ACTRT3	1.15115680248183	8.33758636757257	11.9776439417955	6.34017270852029e-13	5.23431597515435e-11	19.4719178199439	ILMN_1696643	ACTRT3	up
ACVR1	1.99818679444936	9.18069308984965	11.9612258165486	6.5600033012627e-13	5.39265912406365e-11	19.4377097224229	ILMN_1728478	ACVR1	up
ACVR1B	-2.13422063388767	8.37816674221943	-11.9489124469107	6.72999882729207e-13	5.50886201879959e-11	19.412032773043	ILMN_1729165	ACVR1B	down
ACVR1C	-1.5644936108631	7.79236371565523	-11.9387054451077	6.87434044633131e-13	5.60317003498428e-11	19.3907343327295	ILMN_1693604	ACVR1C	down
ACVR2A	-2.77232248198418	9.56855960189246	-11.9269160855957	7.04502205298154e-13	5.71806093717945e-11	19.3661183965008	ILMN_1758392	ACVR2A	down
ACVRL1	-1.61537865692102	8.25265026973166	-11.9129977900064	7.25213926425384e-13	5.83691007896179e-11	19.3370356499151	ILMN_1813490	ACVRL1	down
ACY3	-1.30492898298682	8.78992880190207	-11.9064347546283	7.35196256996661e-13	5.89259799982824e-11	19.3233138330392	ILMN_1779347	ACY3	down
ACYP1	-1.08566546793017	7.35910239781526	-11.8989846172881	7.46699020104831e-13	5.95995948163342e-11	19.3077309663667	ILMN_1731699	ACYP1	down
ACYP2	2.26762227503967	10.1811123906554	11.8948480038844	7.53165440438045e-13	5.98673157531663e-11	19.2990758341897	ILMN_1771599	ACYP2	up
ADA2	1.55181620258487	9.4126298885784	11.8613455354566	8.07702615865352e-13	6.36760963884669e-11	19.2289013924694	ILMN_2401978	ADA2	up
ADAD1	1.1447022991436	7.4712596864402	11.843336685756	8.38677994141948e-13	6.57351558669801e-11	19.1911236577949	ILMN_1794707	ADAD1	up
ADAD2	-2.96747358561723	11.4361701466241	-11.8422102995296	8.40655455566496e-13	6.57351558669801e-11	19.1887594920416	ILMN_1759097	ADAD2	down
ADAL	1.82285160820252	8.10393590732976	11.8304990060151	8.61501448317692e-13	6.70924771653406e-11	19.1641695821829	ILMN_1699265	ADAL	up
ADAM10	1.55145926613865	10.7681228736033	11.818667377324	8.8310099106841e-13	6.84973010652900e-11	19.1393100623541	ILMN_2071937	ADAM10	up
ADAM12	-2.94332093179211	8.62712662246632	-11.7643288449226	9.89675704428352e-13	7.61496074015351e-11	19.0249198986519	ILMN_1653762	ADAM12	down
ADAM15	1.56271859123107	8.10084854458173	11.7620400255312	9.94444364220163e-13	7.6211680438801e-11	19.020093707279	ILMN_1796762	ADAM15	up
ADAM2	-1.28941451504553	9.69645742485815	-11.6940157682193	1.14748287039091e-12	8.65607078229002e-11	18.8763655625443	ILMN_1811972	ADAM2	down
