	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
AFF4	-1.15235630969171	7.72103571769988	-10.1645512881671	3.32748166513792e-11	1.55735857203389e-09	15.4908413795027	ILMN_1670970	AFF4	down
AFG3L1P	1.15578453167293	9.23098643058947	10.1427522734173	3.49848980977081e-11	1.62607684490711e-09	15.440403209925	ILMN_2248589	AFG3L1P	up
AFG3L2	1.23131585620701	7.92109704037037	10.1426061096172	3.49966632247630e-11	1.62607684490711e-09	15.4400648073664	ILMN_1782098	AFG3L2	up
AFM	1.16760508026547	10.3451617564593	10.139272942503	3.5266061881421e-11	1.63464570205064e-09	15.4323470002918	ILMN_1812557	AFM	up
AFMID	1.95978880278621	8.34298004896273	10.1366436148454	3.54800718796563e-11	1.6406121698968e-09	15.4262578702019	ILMN_1670305	AFMID	up
AFP	-1.84180286228658	9.01559502637386	-10.1339039196473	3.57044806417163e-11	1.64702971132867e-09	15.4199121756748	ILMN_1702009	AFP	down
AFTPH	1.29866799681599	9.91301659590272	10.1252816277115	3.64202681979953e-11	1.67602937573358e-09	15.3999347246268	ILMN_1659206	AFTPH	up
AGA	-2.73076919328598	8.16516173274905	-10.1213148614635	3.67544934758075e-11	1.68737335680342e-09	15.3907406180173	ILMN_1757081	AGA	down
AGAP1	-1.30689722261341	9.98460905361097	-10.1166227029415	3.71538969352619e-11	1.701648479635e-09	15.3798625294067	ILMN_1712298	AGAP1	down
AGAP2	1.13112468536814	8.90412908278454	10.1143233496489	3.73512416573284e-11	1.70662347867071e-09	15.3745307521489	ILMN_1771903	AGAP2	up
AGAP4	-1.09459217956013	11.2942747281524	-10.0919096564376	3.93320968759627e-11	1.78863407921044e-09	15.3225209771937	ILMN_1787567	AGAP4	down
AGAP6	-2.17504317220278	8.38535210522411	-10.0833906584611	4.0112918592849e-11	1.81983986333029e-09	15.3027357082026	ILMN_1692280	AGAP6	down
AGBL1	-1.64122908321907	10.6094489658219	-10.0792462768485	4.04985012639256e-11	1.82870697256543e-09	15.2931069678981	ILMN_1740265	AGBL1	down
AGBL5	1.23460297268372	9.071892681727	10.0663411046825	4.17236593205626e-11	1.87522502497744e-09	15.2631095467599	ILMN_2116714	AGBL5	up
AGER	-2.44706650444304	8.42573446742846	-10.0601131298816	4.23284314551325e-11	1.89797134608608e-09	15.2486250643274	ILMN_1712913	AGER	down
AGFG1	2.58564539337089	9.28976833505596	10.056097782924	4.27230980340378e-11	1.91121282275059e-09	15.2392838025994	ILMN_2109708	AGFG1	up
AGFG2	1.31186153325009	10.721321800998	10.0479451838506	4.35360490261832e-11	1.94306134354445e-09	15.2203111267421	ILMN_2213558	AGFG2	up
AGGF1	1.77327133698689	10.2421003537614	10.037506716914	4.46001220537599e-11	1.98594432367159e-09	15.1960059712387	ILMN_1766054	AGGF1	up
AGL	-1.44776250936759	8.08749774117114	-10.0178944431018	4.66719689140632e-11	2.06658737956559e-09	15.1503013681693	ILMN_1733831	AGL	down
AGMO	1.44882888797567	9.05095641904626	10.0071152629517	4.78524035669528e-11	2.11121292434381e-09	15.125159819189	ILMN_1795344	AGMO	up
AGO1	5.46322879569755	10.6836360378136	10.004168523592	4.81803939308546e-11	2.12081935389913e-09	15.1182841176894	ILMN_1788874	AGO1	up
AGO2	3.85384905816046	10.3009423194715	10.0027843956593	4.83352497620569e-11	2.12277822927609e-09	15.1150541004828	ILMN_1689655	AGO2	up
AGO4	2.2853478091451	8.61831419442754	9.99191994519259	4.95686019128504e-11	2.16569761680564e-09	15.0896918884978	ILMN_2201678	AGO4	up
AGPAT2	-1.55027795915235	9.42065821792491	-9.98352863459724	5.05432267284013e-11	2.1996595234107e-09	15.0700923385054	ILMN_1804988	AGPAT2	down
AGPAT3	1.21024466347346	8.42080359147934	9.97200064706789	5.19142623654663e-11	2.25422742858264e-09	15.0431512693958	ILMN_2204664	AGPAT3	up
AGPAT4	-1.64726099395459	7.62215619538197	-9.96717238633261	5.24997539477716e-11	2.27451636698048e-09	15.0318623292234	ILMN_1653263	AGPAT4	down
AGPAT4-IT1	-1.66100437313755	7.9905240080543	-9.96507413310627	5.27562990618433e-11	2.28049476124408e-09	15.0269554483666	ILMN_1702229	AGPAT4-IT1	down
AGPAT5	1.12460549357621	7.68400740868592	9.95699256012745	5.37564550257912e-11	2.31851831586574e-09	15.0080507979927	ILMN_1698185	AGPAT5	up
AGRN	-2.0967031269632	9.29139248402419	-9.94225901272261	5.56301038570859e-11	2.38329772337395e-09	14.9735633981202	ILMN_1672121	AGRN	down
AGT	1.17558365888763	8.75214785326912	9.93783253908998	5.62059778127413e-11	2.39729088515719e-09	14.963196558653	ILMN_2133675	AGT	up
AGTPBP1	-1.17172072462654	7.40408819215097	-9.93236147372038	5.69261949953864e-11	2.42263780294525e-09	14.9503796895523	ILMN_1658917	AGTPBP1	down
AGTR2	-1.38943782707635	7.60276486044465	-9.92716513912398	5.76189970377277e-11	2.43716460129062e-09	14.9382027503938	ILMN_1769369	AGTR2	down
AGTRAP	-1.58677263397484	10.0736682272187	-9.92695172553211	5.76476343100037e-11	2.43716460129062e-09	14.9377025667124	ILMN_1717477	AGTRAP	down
AGXT2	2.41927366601055	10.1984322156685	9.92499129247796	5.79113812296419e-11	2.43760028300523e-09	14.9331075600397	ILMN_2130441	AGXT2	up
AHCTF1	-2.14857739615252	10.2231360628805	-9.917439746438	5.8938928965903e-11	2.47543501656793e-09	14.9154029337531	ILMN_1730931	AHCTF1	down
AHCY	2.26268386788473	9.80032670477348	9.91503329044488	5.92702859411385e-11	2.48392858467046e-09	14.9097594013364	ILMN_1765446	AHCY	up
AHCYL1	1.56613728240318	8.04685162893208	9.90808706552904	6.02374868869888e-11	2.51897456034373e-09	14.8934650639585	ILMN_1706357	AHCYL1	up
AHI1	1.86635392094418	8.90526083242841	9.89792327089166	6.16819174096786e-11	2.56266385160384e-09	14.8696114798948	ILMN_1769299	AHI1	up
AHNAK	2.415144220107	8.25215291811045	9.89568127844551	6.20052848500385e-11	2.57054667968823e-09	14.8643478656965	ILMN_1790211	AHNAK	up
AHR	-2.20038435887402	11.0174678791491	-9.88855098167526	6.30452889168021e-11	2.6024445871322e-09	14.8476033561702	ILMN_1680353	AHR	down
AHRR	-1.09287255021766	9.65406509867177	-9.88411316363955	6.37015770160119e-11	2.62390478689508e-09	14.8371783545616	ILMN_2152429	AHRR	down
AHSA1	-2.64844924508168	8.62185803537618	-9.88123856017262	6.41304177367117e-11	2.63356989826255e-09	14.8304241499524	ILMN_1739235	AHSA1	down
AHSG	-1.76733840503535	7.90572320912385	-9.87050148588795	6.57585141210666e-11	2.69134208006987e-09	14.8051864930245	ILMN_1671107	AHSG	down
AIF1	-2.27891096786395	9.05646417265836	-9.85258494210674	6.85700946084991e-11	2.78273067487149e-09	14.7630393338158	ILMN_1716265	AIF1	down
AIM2	-1.2670678070442	7.94277011932173	-9.80446647511787	7.67463971355767e-11	3.07561186520824e-09	14.6496338539502	ILMN_1773413	AIM2	down
AIMP2	-1.74825333383482	10.931848139033	-9.7791916791582	8.14344170480505e-11	3.24994283472261e-09	14.589943131082	ILMN_1738684	AIMP2	down
AIP	-1.5916012352982	7.82943155039593	-9.77480516572985	8.22774192607165e-11	3.27678765403549e-09	14.5795749936388	ILMN_1654632	AIP	down
AIPL1	2.00037740433764	8.97741636147939	9.77031681150545	8.31492429410579e-11	3.30466701903758e-09	14.5689634953179	ILMN_1723358	AIPL1	up
AIRE	1.14852000419174	7.61879139419298	9.76249381866961	8.46914636349245e-11	3.35902060717816e-09	14.5504617489158	ILMN_2376108	AIRE	up
AJAP1	-1.02368614318775	8.00761525209912	-9.75081013117424	8.70494985717103e-11	3.44544064717164e-09	14.5228141361975	ILMN_1740500	AJAP1	down
AJM1	1.39941358849245	8.44732662501599	9.73993261898838	8.93052365520692e-11	3.52746515465216e-09	14.4970579043081	ILMN_1685441	AJM1	up
AK1	-1.48484222732775	8.16755907815391	-9.73572796492171	9.01931376988777e-11	3.54796563757794e-09	14.487097732976	ILMN_1778924	AK1	down
AK2	-1.06661931599209	10.0249922245206	-9.72605891784052	9.22694045119945e-11	3.62223319427087e-09	14.4641843493209	ILMN_1722276	AK2	down
AK3	-2.03756300648721	7.93731496773042	-9.72486066766628	9.25300939334552e-11	3.62506901609764e-09	14.4613439107359	ILMN_1796673	AK3	down
AK4	1.14220644698915	8.23606540529379	9.71146048666491	9.54972947771906e-11	3.73371130555699e-09	14.4295659288691	ILMN_1808587	AK4	up
AK5	-1.42395714218556	10.8854097600404	-9.69912364950563	9.83151321356963e-11	3.83608495286461e-09	14.4002885156915	ILMN_1713744	AK5	down
AK7	-1.21131785093032	7.57586435589969	-9.69305740097522	9.97317849751663e-11	3.88348302789939e-09	14.3858848536129	ILMN_1767274	AK7	down
AK8	-2.06375924982828	9.24476823260264	-9.6857553018208	1.01464794665127e-10	3.9429834145018e-09	14.3685403048208	ILMN_1763834	AK8	down
AK9	-1.78920833312305	7.85278131528648	-9.6787502952414	1.03156265489051e-10	4.00063290916813e-09	14.351894770367	ILMN_1801090	AK9	down
AKAP10	-1.57454458802174	9.34216692135924	-9.65912195995952	1.08051244999763e-10	4.16527805373834e-09	14.3052184868721	ILMN_1873278	AKAP10	down
AKAP11	1.47836927707821	8.90040013496374	9.65566271985538	1.08938258809393e-10	4.19107269291496e-09	14.2969870838996	ILMN_1732452	AKAP11	up
AKAP13	-1.34638549723233	9.99974073165393	-9.64920828915847	1.10613273036412e-10	4.23855960184945e-09	14.2816242464101	ILMN_1704024	AKAP13	down
AKAP14	1.62969913267535	10.2815616909533	9.64811496817494	1.10899604868213e-10	4.24108309989053e-09	14.2790213746113	ILMN_1812262	AKAP14	up
AKAP17A	1.13986349675435	7.72398636366655	9.64713198365758	1.11157688036738e-10	4.24251842673551e-09	14.2766810453236	ILMN_1669376	AKAP17A	up
AKAP2	1.1219540953587	8.52709996019022	9.64440727324327	1.11876280352033e-10	4.25601677461559e-09	14.2701932725508	ILMN_2216918	AKAP2	up
AKAP5	1.63058219150325	8.43145358160846	9.6273653377189	1.16479938687312e-10	4.41064586730146e-09	14.2295925296666	ILMN_1715864	AKAP5	up
AKAP6	-1.20244706471661	8.38031482481275	-9.62524995897767	1.17064752272528e-10	4.42116497667462e-09	14.224550150763	ILMN_1668619	AKAP6	down
AKAP8L	1.2498768339544	9.54337238756929	9.62038625258861	1.18420787005163e-10	4.44285953630598e-09	14.2129543889458	ILMN_1726516	AKAP8L	up
AKAP9	-1.76567901504519	7.8198299465592	-9.62015559786701	1.1848549293642e-10	4.44285953630598e-09	14.2124043973842	ILMN_1814790	AKAP9	down
AKIRIN1	1.23074408568813	8.44864715463346	9.61655215465029	1.19501083636567e-10	4.46353950453009e-09	14.2038111399595	ILMN_1731418	AKIRIN1	up
AKR1A1	-1.99074668653262	9.67987405336248	-9.56829314964842	1.33993710676679e-10	4.96628712635184e-09	14.088559644781	ILMN_1805992	AKR1A1	down
AKR1B1	-1.06933102328798	9.86577757024629	-9.55750296838166	1.37473100293602e-10	5.08544722547639e-09	14.0627482760797	ILMN_1849494	AKR1B1	down
AKR1B10	2.8852837629892	9.17339805286049	9.55659303006707	1.37770712596996e-10	5.08667452498239e-09	14.0605708891394	ILMN_1695311	AKR1B10	up
AKR1B15	2.46199341252643	10.3632784789137	9.54477158465371	1.41697601363952e-10	5.2216380456647e-09	14.0322733920294	ILMN_1693014	AKR1B15	up
AKR1C2	1.39953481401923	10.8856826148953	9.54008610455705	1.43285564803923e-10	5.26000214612266e-09	14.0210524104197	ILMN_1712400	AKR1C2	up
AKR1C3	1.77238230912808	7.95286546099446	9.53692280599782	1.44367929060984e-10	5.28964092079445e-09	14.013475159378	ILMN_1750101	AKR1C3	up
AKR1C4	-1.98929319127423	8.01215991286759	-9.53221203361482	1.45995309586864e-10	5.33909843196374e-09	14.0021886762077	ILMN_1748812	AKR1C4	down
AKR7L	-2.41010345924586	8.16603301205986	-9.47529282145803	1.67209113755359e-10	6.0232856033672e-09	13.865583080014	ILMN_1732066	AKR7L	down
AKT2	1.27922755213207	8.84045440530759	9.45858777903788	1.74015348833644e-10	6.23344366883423e-09	13.8254092449362	ILMN_1751097	AKT2	up
AKTIP	2.4032908548256	9.63510039351131	9.44321501662825	1.80529134276757e-10	6.44278001288999e-09	13.7884065681792	ILMN_1797875	AKTIP	up
ALAS1	1.00567380956803	7.82191151842328	9.42788069574724	1.87275327591473e-10	6.65291162315233e-09	13.7514650707358	ILMN_2078389	ALAS1	up
ALB	-1.26540770712655	9.67139333798895	-9.38985809545956	2.05138033307898e-10	7.2670998318798e-09	13.6597307824366	ILMN_2325347	ALB	down
ALCAM	-1.79534164312644	9.05393129630095	-9.38622412854053	2.06934045366952e-10	7.31724870712992e-09	13.6509533037878	ILMN_1692261	ALCAM	down
ALDH16A1	1.2355410933744	8.21504063440303	9.37609707537431	2.12024473790011e-10	7.48349133545808e-09	13.6264831563142	ILMN_1800412	ALDH16A1	up
ALDH18A1	-1.28048142923954	9.28629072189266	-9.37399736950509	2.13095836289286e-10	7.50753023234562e-09	13.6214078971162	ILMN_1698323	ALDH18A1	down
ALDH1A1	-1.71290760731601	8.76351586321962	-9.37134072334278	2.14459313871189e-10	7.54175386037696e-09	13.6149856004215	ILMN_1767365	ALDH1A1	down
ALDH1B1	2.29503825266895	9.07126972945652	9.3583953708561	2.21232095033155e-10	7.73749196374139e-09	13.5836774744844	ILMN_2041101	ALDH1B1	up
ALDH2	-2.44583932567221	10.1393601391466	-9.34903474535363	2.26265379083114e-10	7.8705982496253e-09	13.5610250542951	ILMN_1746013	ALDH2	down
ALDH5A1	-1.06396041259989	8.13008593914314	-9.33233645346975	2.35536958111668e-10	8.09995896924434e-09	13.5205867485758	ILMN_1687821	ALDH5A1	down
ALDH6A1	-1.31930003971511	7.80623839313753	-9.33186082497684	2.35806665771306e-10	8.09995896924434e-09	13.5194343739023	ILMN_1810915	ALDH6A1	down
ALDH7A1	-1.9293451467956	9.9058259915219	-9.32841864724307	2.37768009080862e-10	8.15277258944646e-09	13.5110936092218	ILMN_2315789	ALDH7A1	down
ALDOA	-1.65214617864846	10.1142639034465	-9.32455615723595	2.3998872039934e-10	8.18514720851366e-09	13.5017325052248	ILMN_1730945	ALDOA	down
ALDOC	-1.41152613830058	7.89334811490804	-9.30827549650032	2.49584812865603e-10	8.48235593689531e-09	13.4622529842876	ILMN_1853824	ALDOC	down
ALG12	1.67228536490662	8.49329490027991	9.29180660747521	2.59691510384335e-10	8.76390507675976e-09	13.4222811320876	ILMN_1751034	ALG12	up
ALG13	-2.22548995668569	12.1216312460784	-9.28858861488932	2.6171472019259e-10	8.81671516221483e-09	13.4144664856409	ILMN_2234697	ALG13	down
ALG14	-1.34049887794291	7.97088314211973	-9.28684692693308	2.62816466593598e-10	8.83835236257771e-09	13.4102363562326	ILMN_1748245	ALG14	down
ALG1L2	-1.17478646644242	7.88665595522997	-9.26809555054003	2.74982883655704e-10	9.21528005226677e-09	13.3646683341277	ILMN_2060086	ALG1L2	down
ALG2	1.64948058566832	7.69727746328914	9.26569069452873	2.76584358776808e-10	9.25282908770554e-09	13.3588208701744	ILMN_1687445	ALG2	up
ALG5	1.35355079535965	7.96156546424456	9.25647798181663	2.8280818786667e-10	9.42824662357586e-09	13.3364128232148	ILMN_1702899	ALG5	up
ALG6	2.1931673589333	7.95758115521433	9.2508192543089	2.86701872278188e-10	9.5260702330406e-09	13.3226435239417	ILMN_1807556	ALG6	up
ALG8	1.00779677049429	8.06351885849494	9.25077443266373	2.86732931219095e-10	9.5260702330406e-09	13.3225344430821	ILMN_1858599	ALG8	up
ALK	1.24580251645635	8.76160088539985	9.23954004772104	2.94627276281827e-10	9.7470139251665e-09	13.2951852887277	ILMN_1678729	ALK	up
ALKAL1	-1.11334900685402	7.61318131804642	-9.23915266841762	2.94903415702168e-10	9.7470139251665e-09	13.2942419473711	ILMN_1710394	ALKAL1	down
ALKAL2	2.27819749293761	8.76546554369609	9.2310168263911	3.00764514830113e-10	9.92368131607555e-09	13.2744250328342	ILMN_1766914	ALKAL2	up
ALKBH1	1.03704106333478	8.46627230563701	9.22595408226034	3.04471730098304e-10	1.0028798287964e-08	13.2620889873427	ILMN_1742379	ALKBH1	up
ALKBH2	2.19379608493536	9.54497234095455	9.22314620266985	3.06547921092404e-10	1.00799244617667e-08	13.2552457480255	ILMN_1700432	ALKBH2	up
ALKBH5	-1.0424685277092	7.9024772702757	-9.20476853391886	3.20498885423635e-10	1.04848921088589e-08	13.2104306260052	ILMN_1652371	ALKBH5	down
ALKBH7	1.04681218537082	7.68573547210036	9.18929191055704	3.32750386319676e-10	1.08487905614327e-08	13.1726550604813	ILMN_2262044	ALKBH7	up
ALKBH8	2.69079651101779	9.62591773894558	9.17799077952947	3.41998167531787e-10	1.11314327422021e-08	13.1450509850693	ILMN_1701613	ALKBH8	up
ALMS1	-1.03853020696439	8.3679334284426	-9.16936858062252	3.49230184242148e-10	1.13284853694468e-08	13.1239790387112	ILMN_2151075	ALMS1	down
ALMS1P1	2.25031843782681	10.1769635515308	9.16779810333872	3.50564188920399e-10	1.13526140371596e-08	13.1201398576043	ILMN_1778401	ALMS1P1	up
ALOX12P2	2.55752353992078	8.72181036967618	9.159501118996	3.57698830237091e-10	1.15254517561821e-08	13.0998516511575	ILMN_1684306	ALOX12P2	up
ALOX15	1.00078892694248	8.12479906552129	9.15634333319806	3.60453082663076e-10	1.15947750804464e-08	13.0921276704661	ILMN_1690703	ALOX15	up
ALOX15B	-2.07830122544809	9.02759999826617	-9.15506020549428	3.61578425480453e-10	1.16115569157629e-08	13.0889887467096	ILMN_2065022	ALOX15B	down
ALOX5AP	-1.24150390265338	9.05665399305972	-9.14745644027295	3.68321272352221e-10	1.17887321047709e-08	13.0703831174202	ILMN_1730416	ALOX5AP	down
ALPK1	3.68366836532742	10.7764850980466	9.13845863378181	3.76466647187208e-10	1.19895901081012e-08	13.0483564920702	ILMN_1777397	ALPK1	up
ALPK2	-2.26919972178357	8.09868754591818	-9.1347621848512	3.79866053646405e-10	1.20778568726318e-08	13.0393044710619	ILMN_1802633	ALPK2	down
ALPL	-1.13909978387853	8.13856096454389	-9.12171929023384	3.92113587216843e-10	1.24261893965456e-08	13.0073499807931	ILMN_1721801	ALPL	down
ALPP	1.08480213202132	9.73172884359615	9.11557488159868	3.9802245956153e-10	1.25892414556309e-08	12.9922886362349	ILMN_1746314	ALPP	up
ALS2	1.02122414966285	7.63404585049062	9.10882264051321	4.04620926142888e-10	1.27594887463682e-08	12.9757315757119	ILMN_2396982	ALS2	up
ALS2CL	-2.31902350407991	8.79340704504147	-9.10658745985643	4.06829751925332e-10	1.28081458396656e-08	12.9702493922862	ILMN_1790160	ALS2CL	down
ALS2CR12	1.6622743060378	9.80927881236759	9.10509942061523	4.08307076484448e-10	1.28336518353837e-08	12.966599340154	ILMN_2360784	ALS2CR12	up
ALX1	1.75461637394839	9.37802966180171	9.0985678414407	4.14856769702263e-10	1.30182460391399e-08	12.950574374933	ILMN_1721022	ALX1	up
ALYREF	1.52595057310211	8.26761078855192	9.08721212654084	4.26500788712689e-10	1.3318456447528e-08	12.9227001098784	ILMN_1735292	ALYREF	up
AMACR	-2.20520503614239	8.90960202985004	-9.07574598873904	4.38597223575665e-10	1.3673997070829e-08	12.8945374356297	ILMN_1691290	AMACR	down
AMBP	1.43959560730874	8.89260854844935	9.07197689291661	4.42649634912961e-10	1.3752705466185e-08	12.8852761227091	ILMN_1808404	AMBP	up
AMBRA1	2.02381342484161	9.389717561311	9.07140610536291	4.43266655699453e-10	1.3752705466185e-08	12.883873435801	ILMN_1713990	AMBRA1	up
AMD1	-1.29221022070151	8.00991979553369	-9.06687378067997	4.48197404801222e-10	1.38832935245673e-08	12.8727339006832	ILMN_1785731	AMD1	down
AMELY	-1.07142642160333	7.50521297712368	-9.047062293672	4.70417371009897e-10	1.44783176779942e-08	12.8240093042715	ILMN_1652540	AMELY	down
AMER1	-2.4136381016632	8.58976046348551	-9.0445882298827	4.73270203533706e-10	1.45428524523552e-08	12.8179209085775	ILMN_1742846	AMER1	down
AMER3	-1.6015030003071	8.08928968878915	-9.04156532061982	4.76779923312526e-10	1.46040423643945e-08	12.8104807638866	ILMN_1767129	AMER3	down
AMH	1.78190517786468	10.9563136623109	9.02774017150863	4.93173710420107e-10	1.50366410307128e-08	12.7764381372808	ILMN_1684205	AMH	up
AMIGO1	-1.29476737351226	8.9388155847916	-9.02327675124005	4.98588538802587e-10	1.51753941968458e-08	12.7654421383426	ILMN_2400292	AMIGO1	down
AMIGO3	-2.17179348815948	12.3044064844884	-9.01820370214448	5.04816773697661e-10	1.53164912600129e-08	12.7529410642813	ILMN_1756928	AMIGO3	down
AMOTL2	1.073681090185	10.6618959436251	8.99094454596221	5.3967114394218e-10	1.62458749997993e-08	12.6857103264389	ILMN_1774584	AMOTL2	up
AMPD1	-2.91013797498928	9.97476347474393	-8.98067241894302	5.53435006179103e-10	1.66341809044707e-08	12.6603500990731	ILMN_1806908	AMPD1	down
AMPH	-3.2863812588381	8.48891927660098	-8.94774056458878	6.00028762222864e-10	1.79504716487076e-08	12.5789525229854	ILMN_1676504	AMPH	down
AMT	-1.97270591489651	7.96134553694589	-8.9457000177898	6.03044466094402e-10	1.80126760089936e-08	12.5739041896018	ILMN_1745817	AMT	down
AMTN	-1.31878704804648	8.40391614246203	-8.9341813075261	6.20360715333631e-10	1.8501176310322e-08	12.545396460006	ILMN_1879480	AMTN	down
AMY2B	-1.14529162555745	9.44385176321772	-8.92618661396149	6.3267722138462e-10	1.87811404792509e-08	12.5256000319666	ILMN_1780444	AMY2B	down
AMZ1	-1.67524026598247	8.09406844475151	-8.92530375538015	6.3405257244314e-10	1.87929665385458e-08	12.5234133832387	ILMN_1770653	AMZ1	down
ANAPC10	-3.00931705332644	10.8755320896637	-8.90572826449538	6.65345564862254e-10	1.95996742506743e-08	12.4749026954813	ILMN_2376194	ANAPC10	down
ANAPC13	-1.27482899960123	8.35478569116288	-8.89764200209391	6.78728576334934e-10	1.9932859380731e-08	12.4548490838734	ILMN_1665547	ANAPC13	down
ANAPC16	-1.07837800954485	9.30634886555033	-8.89016422703376	6.91349262556826e-10	2.02416962169606e-08	12.4362968144217	ILMN_1675612	ANAPC16	down
ANAPC2	2.01993093296059	9.25892354576152	8.88678488749664	6.97131188701136e-10	2.0379962835646e-08	12.4279102925543	ILMN_2410523	ANAPC2	up
ANAPC4	-1.41587093390426	7.71620293371299	-8.88589568422134	6.98660776764974e-10	2.03936854352823e-08	12.425703302396	ILMN_1746031	ANAPC4	down
ANAPC5	-1.77258636702935	8.51735772255777	-8.87683457220754	7.14444377958125e-10	2.08228061430341e-08	12.4032077999101	ILMN_2139125	ANAPC5	down
ANAPC7	1.84413662818301	9.69443782386439	8.87573605638808	7.16382490416416e-10	2.0847705878442e-08	12.400479841522	ILMN_1744604	ANAPC7	up
ANGEL2	1.38961319154484	9.76995651419355	8.86771298229073	7.30701460803515e-10	2.11683332831572e-08	12.3805512121938	ILMN_1745471	ANGEL2	up
ANGPT1	-1.34619554543638	7.64623102895594	-8.85721625796386	7.49877853737713e-10	2.16912036007498e-08	12.3544654289307	ILMN_1708496	ANGPT1	down
ANGPT2	-1.86820295011126	8.77398441270078	-8.85575607801571	7.52585886644104e-10	2.17368500232522e-08	12.3508355327796	ILMN_1778121	ANGPT2	down
ANGPT4	-2.31806466144697	9.18515212711595	-8.85349088760217	7.56806668322861e-10	2.18259866144806e-08	12.3452038856985	ILMN_1759563	ANGPT4	down
ANGPTL1	-1.55771193747306	7.81260300686789	-8.85126448572328	7.60978741033093e-10	2.19134536863961e-08	12.339668014396	ILMN_1778333	ANGPTL1	down
ANGPTL4	-1.33362476761705	7.63170888737536	-8.83555871914359	7.9108525993556e-10	2.26785634278993e-08	12.3005976109935	ILMN_2119793	ANGPTL4	down
ANGPTL5	-1.69772647261328	8.76061669325353	-8.82516852646865	8.1166851908954e-10	2.32340113589381e-08	12.2747326192629	ILMN_2041236	ANGPTL5	down
ANGPTL6	-1.17035958278534	9.71747920504453	-8.82296298750622	8.16107684397941e-10	2.33263706048719e-08	12.269240396473	ILMN_1751452	ANGPTL6	down
ANGPTL8	-1.78350289603087	7.79347874200444	-8.81865009638052	8.24860194462017e-10	2.35066825195131e-08	12.2584986044556	ILMN_1704210	ANGPTL8	down
ANK1	1.71320592009712	10.6416423072853	8.79918803994299	8.65564742880515e-10	2.45938011728945e-08	12.2099954804558	ILMN_1678143	ANK1	up
ANKH	1.40996429297096	7.77998192595849	8.77369986017734	9.21995395515847e-10	2.58912458805005e-08	12.1463987690981	ILMN_1733288	ANKH	up
ANKMY1	1.76115063409272	8.16401299083176	8.76580348359617	9.40229733467304e-10	2.62119697869233e-08	12.1266788376513	ILMN_1774390	ANKMY1	up
ANKMY2	1.97330009399255	12.6430075643394	8.7587944193446	9.56723537587676e-10	2.66331895355087e-08	12.1091679641261	ILMN_2203950	ANKMY2	up
ANKRA2	-2.62684187399009	9.81002894963091	-8.75521413966852	9.6526241976019e-10	2.68319707503033e-08	12.100220796337	ILMN_1697189	ANKRA2	down
ANKRD1	-1.38583855291991	9.16948597640797	-8.7546337421389	9.66653968078613e-10	2.68319707503033e-08	12.098770216442	ILMN_1746784	ANKRD1	down
ANKRD10	1.18422154663873	8.05554122813983	8.75163784107169	9.73869525867959e-10	2.69933057631067e-08	12.0912818970354	ILMN_1769394	ANKRD10	up
ANKRD11	-3.90378099093464	9.27444518649669	-8.75104087575221	9.75313862747764e-10	2.69944423939799e-08	12.0897896285364	ILMN_1699585	ANKRD11	down
ANKRD12	-1.8099162850564	8.18534234803319	-8.74605396591504	9.87465317309552e-10	2.7291498338745e-08	12.077321735872	ILMN_1710553	ANKRD12	down
ANKRD13A	3.78048808081639	9.06584928289469	8.74320270457751	9.94482263727783e-10	2.74459983143008e-08	12.0701917624697	ILMN_1774287	ANKRD13A	up
ANKRD13B	1.15778597125677	9.17401955875206	8.74124028925039	9.99341329736723e-10	2.75405871329736e-08	12.0652838516231	ILMN_2214144	ANKRD13B	up
ANKRD13C	1.04710564434437	8.00602318784901	8.73590274859153	1.01268045115956e-09	2.78682706130261e-08	12.0519323505933	ILMN_1660364	ANKRD13C	up
ANKRD2	1.47984209166864	8.06726556208885	8.71510615007793	1.06641190510711e-09	2.90971622789224e-08	11.9998754073736	ILMN_1695590	ANKRD2	up
ANKRD20A3	-1.0530827366416	7.73866533545644	-8.70191781549189	1.10198636449847e-09	2.99209182168212e-08	11.9668336917127	ILMN_1804568	ANKRD20A3	down
ANKRD20A9P	-2.19172881657343	9.86018989969652	-8.70161238555527	1.10282444456884e-09	2.99209182168212e-08	11.9660682053994	ILMN_1769911	ANKRD20A9P	down
ANKRD26	2.20932402249397	10.6114754828242	8.67929383940774	1.16586056344753e-09	3.14537079922534e-08	11.910099106976	ILMN_1773389	ANKRD26	up
ANKRD26P1	1.99121165704765	8.25389967930921	8.67738340252866	1.17142449005963e-09	3.15595539086653e-08	11.9053051999036	ILMN_1783909	ANKRD26P1	up
ANKRD30A	-1.49428812528175	7.56665222345856	-8.65322871265499	1.24415673203443e-09	3.33323104420812e-08	11.8446520633319	ILMN_1662390	ANKRD30A	down
ANKRD30BP3	1.94679880707845	8.20447667604303	8.64738627874403	1.26243125486407e-09	3.36811756152084e-08	11.8299700862961	ILMN_1708983	ANKRD30BP3	up
ANKRD31	1.06883062792655	9.25657412033532	8.64336368076268	1.27517262430083e-09	3.39739897521478e-08	11.8198587465279	ILMN_2089977	ANKRD31	up
ANKRD34A	2.02059796947989	8.03078173290549	8.63739841269024	1.29430947635358e-09	3.43885871369302e-08	11.8048603543709	ILMN_1694426	ANKRD34A	up
